sample_id	donor_id	tissue	ex5_6	ex6_7	log_ex5_6	log_ex6_7
"GTEX-1117F-3226-SM-5N9CT"	"GTEX-1117F"	"Brain - Cortex"	35	32	3.58351893845611	3.49650756146648
"GTEX-111FC-3126-SM-5GZZ2"	"GTEX-111FC"	"Brain - Cortex"	52	46	3.97029191355212	3.85014760171006
"GTEX-111FC-3326-SM-5GZYV"	"GTEX-111FC"	"Brain - Cerebellum"	15	15	2.77258872223978	2.77258872223978
"GTEX-1128S-2726-SM-5H12C"	"GTEX-1128S"	"Brain - Cortex"	69	57	4.24849524204936	4.06044301054642
"GTEX-1128S-2826-SM-5N9DI"	"GTEX-1128S"	"Brain - Cerebellum"	19	14	2.99573227355399	2.70805020110221
"GTEX-117XS-3026-SM-5N9CA"	"GTEX-117XS"	"Brain - Cortex"	83	70	4.43081679884331	4.26267987704132
"GTEX-117XS-3126-SM-5GIDP"	"GTEX-117XS"	"Brain - Cerebellum"	13	19	2.63905732961526	2.99573227355399
"GTEX-1192X-0011-R10a-SM-DO941"	"GTEX-1192X"	"Brain - Frontal Cortex (BA9)"	81	74	4.40671924726425	4.31748811353631
"GTEX-1192X-0011-R5a-SM-DNZZA"	"GTEX-1192X"	"Brain - Caudate (basal ganglia)"	79	68	4.38202663467388	4.23410650459726
"GTEX-1192X-0011-R6a-SM-DNZZB"	"GTEX-1192X"	"Brain - Nucleus accumbens (basal ganglia)"	55	47	4.02535169073515	3.87120101090789
"GTEX-1192X-0011-R7b-SM-DNZZC"	"GTEX-1192X"	"Brain - Putamen (basal ganglia)"	83	52	4.43081679884331	3.97029191355212
"GTEX-1192X-0011-R8b-SM-DO11U"	"GTEX-1192X"	"Brain - Hypothalamus"	74	55	4.31748811353631	4.02535169073515
"GTEX-1192X-0011-R9b-SM-DO934"	"GTEX-1192X"	"Brain - Spinal cord (cervical c-1)"	105	75	4.66343909411207	4.33073334028633
"GTEX-1192X-3126-SM-5N9BY"	"GTEX-1192X"	"Brain - Cortex"	67	49	4.21950770517611	3.91202300542815
"GTEX-1192X-3226-SM-5987D"	"GTEX-1192X"	"Brain - Cerebellum"	14	9	2.70805020110221	2.30258509299405
"GTEX-11DXW-0011-R1a-SM-DNZZD"	"GTEX-11DXW"	"Brain - Hippocampus"	52	21	3.97029191355212	3.09104245335832
"GTEX-11DXW-0011-R3b-SM-DNZZE"	"GTEX-11DXW"	"Brain - Anterior cingulate cortex (BA24)"	42	30	3.76120011569356	3.43398720448515
"GTEX-11DXW-0011-R5b-SM-DO11D"	"GTEX-11DXW"	"Brain - Caudate (basal ganglia)"	30	27	3.43398720448515	3.3322045101752
"GTEX-11DXW-0011-R6a-SM-DO11N"	"GTEX-11DXW"	"Brain - Nucleus accumbens (basal ganglia)"	31	17	3.46573590279973	2.89037175789616
"GTEX-11DXW-0011-R7b-SM-DO119"	"GTEX-11DXW"	"Brain - Putamen (basal ganglia)"	24	22	3.2188758248682	3.13549421592915
"GTEX-11DXW-1026-SM-5H11K"	"GTEX-11DXW"	"Brain - Cerebellum"	12	9	2.56494935746154	2.30258509299405
"GTEX-11DXW-1126-SM-5H12Q"	"GTEX-11DXW"	"Brain - Cortex"	61	55	4.12713438504509	4.02535169073515
"GTEX-11DXY-0011-R10b-SM-DO12C"	"GTEX-11DXY"	"Brain - Frontal Cortex (BA9)"	88	62	4.48863636973214	4.14313472639153
"GTEX-11DXY-0011-R11a-SM-DNZZN"	"GTEX-11DXY"	"Brain - Cerebellar Hemisphere"	25	17	3.25809653802148	2.89037175789616
"GTEX-11DXY-0011-R5b-SM-DNZZL"	"GTEX-11DXY"	"Brain - Caudate (basal ganglia)"	40	37	3.71357206670431	3.63758615972639
"GTEX-11DXY-0011-R6a-SM-DNZZF"	"GTEX-11DXY"	"Brain - Nucleus accumbens (basal ganglia)"	66	53	4.20469261939097	3.98898404656427
"GTEX-11DXY-0011-R7a-SM-DO11L"	"GTEX-11DXY"	"Brain - Putamen (basal ganglia)"	43	31	3.78418963391826	3.46573590279973
"GTEX-11DXY-0011-R8a-SM-DO11M"	"GTEX-11DXY"	"Brain - Hypothalamus"	34	21	3.55534806148941	3.09104245335832
"GTEX-11DXY-3126-SM-5N9BT"	"GTEX-11DXY"	"Brain - Cerebellum"	24	14	3.2188758248682	2.70805020110221
"GTEX-11DXY-3226-SM-5GIDE"	"GTEX-11DXY"	"Brain - Cortex"	51	48	3.95124371858143	3.89182029811063
"GTEX-11DYG-0011-R10b-SM-DNZZO"	"GTEX-11DYG"	"Brain - Frontal Cortex (BA9)"	56	53	4.04305126783455	3.98898404656427
"GTEX-11DYG-0011-R11a-SM-DNZZP"	"GTEX-11DYG"	"Brain - Cerebellar Hemisphere"	13	17	2.63905732961526	2.89037175789616
"GTEX-11DYG-0011-R5a-SM-DO928"	"GTEX-11DYG"	"Brain - Caudate (basal ganglia)"	34	32	3.55534806148941	3.49650756146648
"GTEX-11DYG-0011-R6a-SM-DO936"	"GTEX-11DYG"	"Brain - Nucleus accumbens (basal ganglia)"	40	27	3.71357206670431	3.3322045101752
"GTEX-11DYG-0011-R7b-SM-EXUS6"	"GTEX-11DYG"	"Brain - Putamen (basal ganglia)"	32	26	3.49650756146648	3.29583686600433
"GTEX-11DYG-0011-R8a-SM-DO93F"	"GTEX-11DYG"	"Brain - Hypothalamus"	33	32	3.52636052461616	3.49650756146648
"GTEX-11DYG-2926-SM-5H132"	"GTEX-11DYG"	"Brain - Cerebellum"	15	19	2.77258872223978	2.99573227355399
"GTEX-11DZ1-0011-R10b-SM-DO943"	"GTEX-11DZ1"	"Brain - Frontal Cortex (BA9)"	43	39	3.78418963391826	3.68887945411394
