outcome	diagnostic	value	label	pass	outcome_label	diagnostic_label	status
"AD"	"Minimum instrument F"	32.4874829620081	"32.5"	TRUE	"AD"	"Minimum F"	"Not flagged"
"LDL"	"Minimum instrument F"	32.4874829620081	"32.5"	TRUE	"LDL-C"	"Minimum F"	"Not flagged"
"TC"	"Minimum instrument F"	32.4874829620081	"32.5"	TRUE	"TC"	"Minimum F"	"Not flagged"
"nonHDL"	"Minimum instrument F"	32.4874829620081	"32.5"	TRUE	"non-HDL-C"	"Minimum F"	"Not flagged"
"AD"	"Steiger direction"	1	"sQTL -> outcome"	TRUE	"AD"	"Lead-SNP Steiger"	"Not flagged"
"LDL"	"Steiger direction"	1	"sQTL -> outcome"	TRUE	"LDL-C"	"Lead-SNP Steiger"	"Not flagged"
"TC"	"Steiger direction"	1	"sQTL -> outcome"	TRUE	"TC"	"Lead-SNP Steiger"	"Not flagged"
"nonHDL"	"Steiger direction"	1	"sQTL -> outcome"	TRUE	"non-HDL-C"	"Lead-SNP Steiger"	"Not flagged"
"AD"	"Exact coloc PP.H4"	0.990857886443657	"0.991"	TRUE	"AD"	"Exact PP.H4"	"Not flagged"
"LDL"	"Exact coloc PP.H4"	0.958888926242983	"0.959"	TRUE	"LDL-C"	"Exact PP.H4"	"Not flagged"
"TC"	"Exact coloc PP.H4"	0.97705398860426	"0.977"	TRUE	"TC"	"Exact PP.H4"	"Not flagged"
"nonHDL"	"Exact coloc PP.H4"	0.959844824231557	"0.960"	TRUE	"non-HDL-C"	"Exact PP.H4"	"Not flagged"
"AD"	"Cochran Q P"	0.995849655855812	"0.996"	TRUE	"AD"	"Cochran Q P"	"Not flagged"
"LDL"	"Cochran Q P"	0.164109638453031	"0.164"	TRUE	"LDL-C"	"Cochran Q P"	"Not flagged"
"TC"	"Cochran Q P"	0.194589711012923	"0.195"	TRUE	"TC"	"Cochran Q P"	"Not flagged"
"nonHDL"	"Cochran Q P"	0.00411018703973054	"0.004"	FALSE	"non-HDL-C"	"Cochran Q P"	"Flagged"
"AD"	"MR-Egger intercept P"	0.757184453818077	"0.757"	TRUE	"AD"	"Egger intercept P"	"Not flagged"
"LDL"	"MR-Egger intercept P"	0.0641372365570264	"0.064"	TRUE	"LDL-C"	"Egger intercept P"	"Not flagged"
"TC"	"MR-Egger intercept P"	0.111115169506208	"0.111"	TRUE	"TC"	"Egger intercept P"	"Not flagged"
"nonHDL"	"MR-Egger intercept P"	0.00265902387734354	"0.003"	FALSE	"non-HDL-C"	"Egger intercept P"	"Flagged"
