model	exposure	assumed_pairwise_sampling_error_correlation	conditional_F	conditional_F_pass_10	q_statistic	q_pvalue
"LDL + HDL + TG -> AD"	"LDL"	0	50.2470286258078	TRUE	2510.59676452153	2.47292314181841e-76
"LDL + HDL + TG -> AD"	"HDL"	0	36.0185299334891	TRUE	2510.59676452153	2.47292314181841e-76
"LDL + HDL + TG -> AD"	"TG"	0	28.9362103467186	TRUE	2510.59676452153	2.47292314181841e-76
"LDL + HDL + TG -> AD"	"LDL"	0.25	59.6305342669946	TRUE	2510.66974267291	2.43045613484728e-76
"LDL + HDL + TG -> AD"	"HDL"	0.25	29.9966836249818	TRUE	2510.66974267291	2.43045613484728e-76
"LDL + HDL + TG -> AD"	"TG"	0.25	25.6310283827376	TRUE	2510.66974267291	2.43045613484728e-76
"LDL + HDL + TG -> AD"	"LDL"	0.5	73.3235366231499	TRUE	2510.74272509687	2.38871465639852e-76
"LDL + HDL + TG -> AD"	"HDL"	0.5	25.6999720556537	TRUE	2510.74272509687	2.38871465639852e-76
"LDL + HDL + TG -> AD"	"TG"	0.5	23.0035020381969	TRUE	2510.74272509687	2.38871465639852e-76
"LDL + HDL + TG -> AD"	"LDL"	0.75	95.1797923508078	TRUE	2510.81571179381	2.34768637552456e-76
"LDL + HDL + TG -> AD"	"HDL"	0.75	22.479954087451	TRUE	2510.81571179381	2.34768637552456e-76
"LDL + HDL + TG -> AD"	"TG"	0.75	20.864600963277	TRUE	2510.81571179381	2.34768637552456e-76
