analysis	exposure	outcome	n_instruments	method	estimate	se	pvalue	q_statistic	q_df	q_pvalue	random_effect_scale	weighted_median	egger_estimate	egger_pvalue	egger_intercept_pvalue	model_label	lo	hi
"genomewide_bidirectional"	"TC"	"AD"	700	"multiplicative random-effects IVW"	0.0181104087410926	0.0291799571698813	0.534832903770439	1661.25594515977	699	4.3181607522717e-80	2.3766179472958	-0.069537880356034	0.0163907939663134	0.574555428517849	0.204189995871101	"Genome-wide"	-0.0390823073118747	0.0753031247940599
"genomewide_bidirectional"	"LDL"	"AD"	593	"multiplicative random-effects IVW"	0.0109724647857522	0.0303209166329151	0.717443395098665	1320.67608672658	592	1.55335697181553e-57	2.23087176811922	-0.0269224901508557	0.0111332274029967	0.713601598785198	0.467778276471962	"Genome-wide"	-0.0484565318147614	0.0704014613862657
"genomewide_bidirectional"	"nonHDL"	"AD"	547	"multiplicative random-effects IVW"	-0.00337248270286599	0.0281333400902134	0.904582209313999	1283.85078762088	546	2.50327568715493e-61	2.35137506890271	-0.0988192511194809	-0.00287670164362426	0.918623551129774	0.496683890107962	"Genome-wide"	-0.0585138292796842	0.0517688638739522
"genomewide_bidirectional"	"HDL"	"AD"	805	"multiplicative random-effects IVW"	0.116055625260727	0.0251929515312467	4.0916769026289e-06	1554.44542269292	804	2.94801904576492e-50	1.93338982922005	0.125144925063012	0.115698943092992	4.53117327825492e-06	0.750655611479968	"Genome-wide"	0.0666774402594836	0.165433810261971
"genomewide_bidirectional"	"TG"	"AD"	692	"multiplicative random-effects IVW"	-0.0535730339336887	0.0272167508617011	0.0490237996046422	1314.08750112544	691	3.28778030957348e-41	1.90171852550715	-0.104621517893033	-0.052194158918392	0.0545841501432259	0.0319741595074086	"Genome-wide"	-0.106917865622623	-0.000228202244754457
"genomewide_APOE_40_50Mb_excluded"	"TC"	"AD"	678	"multiplicative random-effects IVW"	-0.0186576956340888	0.027884417822583	0.503426390541641	1417.13588250912	677	1.49671235887563e-54	2.09325831980667	-0.069537880356034	-0.0206563359948411	0.459143450926689	0.169852959326133	"Extended-APOE excluded"	-0.0733111545663515	0.0359957632981738
"genomewide_APOE_40_50Mb_excluded"	"LDL"	"AD"	567	"multiplicative random-effects IVW"	-0.0332676143922182	0.0303450121491769	0.27294206604212	1162.16356544122	566	2.07895807825008e-43	2.05329251844738	-0.0361225150065492	-0.0330082193374761	0.277028852117805	0.557698880247938	"Extended-APOE excluded"	-0.0927438382046049	0.0262086094201685
"genomewide_APOE_40_50Mb_excluded"	"nonHDL"	"AD"	525	"multiplicative random-effects IVW"	-0.0415312904628911	0.0275924352822247	0.132280518924029	1121.66462135692	524	1.41218448562212e-45	2.1405813384674	-0.105503038487508	-0.0410553349986713	0.137040999479687	0.454191505764578	"Extended-APOE excluded"	-0.0956124636160516	0.0125498826902693
"genomewide_APOE_40_50Mb_excluded"	"HDL"	"AD"	796	"multiplicative random-effects IVW"	0.105169619101212	0.0249188650216424	2.43780617488198e-05	1487.50334208906	795	1.37830758985163e-44	1.87107338627555	0.125144925063012	0.104457796265038	2.84616244116132e-05	0.550372166866587	"Extended-APOE excluded"	0.0563286436587927	0.154010594543631
"genomewide_APOE_40_50Mb_excluded"	"TG"	"AD"	684	"multiplicative random-effects IVW"	-0.0640148192304789	0.0267911428435766	0.0168758101592535	1247.57423543322	683	1.47818339015513e-35	1.8266094223034	-0.111547414098819	-0.0624420011869123	0.0195120905211206	0.0356135034936476	"Extended-APOE excluded"	-0.116525459203889	-0.0115041792570686
