analysis_block	source	doi	method	tested_direction	cell_type	gene	effect	effect_metric	p_value	adjusted_p_value	multiplicity_method	nominal_p_lt_0_05	adjusted_p_lt_0_05
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	downregulated	Oligodendrocytes	TSPAN14	-0.180057502162033	inverse-variance weighted effect	0.0089056144273872	0.0634753267284768	local FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	downregulated	Oligodendrocyte_Precursor_Cell	TSPAN14	-0.0905016021430094	inverse-variance weighted effect	0.0227806139104194	0.591029762587667	local FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	downregulated	GABA_Inhibitory_Neuron	TSPAN14	-0.0706544594290902	inverse-variance weighted effect	0.271383966516831	0.809231997604496	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	downregulated	Glutamatergic_Excitatory_Neuron	TSPAN14	-0.0060873901282165	inverse-variance weighted effect	0.738066203941199	0.982771701847832	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	downregulated	Astrocytes	TSPAN14	-0.0012287802651143	inverse-variance weighted effect	0.983531778355045	0.984042693901814	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	downregulated	Microglia	TSPAN14	-0.108307493603315	inverse-variance weighted effect	0.390483698512711	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	downregulated	Endothelial_Cell	TSPAN14	-0.094887876023579	inverse-variance weighted effect	0.575921982895062	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	upregulated	Oligodendrocytes	TSPAN14	0.178530729718112	inverse-variance weighted effect	0.0079443148845224	0.165074513584019	local FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	upregulated	Oligodendrocyte_Precursor_Cell	TSPAN14	0.0463089618677551	inverse-variance weighted effect	0.387306400128508	0.710327997225636	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	upregulated	GABA_Inhibitory_Neuron	TSPAN14	0.0633020165119557	inverse-variance weighted effect	0.349121251066612	0.906609158003891	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	upregulated	Astrocytes	TSPAN14	-0.0247620189827811	inverse-variance weighted effect	0.682454857904504	0.916952832885906	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	upregulated	Glutamatergic_Excitatory_Neuron	TSPAN14	-0.0004614877039864	inverse-variance weighted effect	0.986925476923817	0.918773572489659	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	upregulated	Microglia	TSPAN14	0.102884893535113	inverse-variance weighted effect	0.413820279618664	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	InvVar	upregulated	Endothelial_Cell	TSPAN14	0.0956154493933733	inverse-variance weighted effect	0.57274535365919	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	downregulated	Oligodendrocytes	TSPAN14	-0.200106927669816	DESeq2 merged-data log2 fold change	0.0002588065778654	0.0503459124240955	local FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	downregulated	Glutamatergic_Excitatory_Neuron	TSPAN14	0.110203492314599	DESeq2 merged-data log2 fold change	0.0382572090679157	0.490730779512319	local FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	downregulated	GABA_Inhibitory_Neuron	TSPAN14	0.0966649607054225	DESeq2 merged-data log2 fold change	0.0744997602146226	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	downregulated	Oligodendrocyte_Precursor_Cell	TSPAN14	-0.0661724875789616	DESeq2 merged-data log2 fold change	0.145527415735065	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	downregulated	Microglia	TSPAN14	-0.0735938264755163	DESeq2 merged-data log2 fold change	0.171976347751685	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	downregulated	Astrocytes	TSPAN14	-0.0464927585424656	DESeq2 merged-data log2 fold change	0.345228614178252	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	downregulated	Endothelial_Cell	TSPAN14	0.019574671041364	DESeq2 merged-data log2 fold change	0.756592940783135	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	upregulated	Oligodendrocytes	TSPAN14	0.200106927669816	DESeq2 merged-data log2 fold change	0.0002588065778654	0.0503459124240955	local FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	upregulated	Glutamatergic_Excitatory_Neuron	TSPAN14	-0.110203492314599	DESeq2 merged-data log2 fold change	0.0382572090679157	0.490730779512319	local FDR	True	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	upregulated	GABA_Inhibitory_Neuron	TSPAN14	-0.0966649607054225	DESeq2 merged-data log2 fold change	0.0744997602146226	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	upregulated	Oligodendrocyte_Precursor_Cell	TSPAN14	0.0661724875789616	DESeq2 merged-data log2 fold change	0.145527415735065	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	upregulated	Microglia	TSPAN14	0.0735938264755163	DESeq2 merged-data log2 fold change	0.171976347751685	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	upregulated	Astrocytes	TSPAN14	0.0464927585424656	DESeq2 merged-data log2 fold change	0.345228614178252	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	Merge	upregulated	Endothelial_Cell	TSPAN14	-0.019574671041364	DESeq2 merged-data log2 fold change	0.756592940783135	1.0	local FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L56_NP Neuron	TSPAN14	0.268959785848341	mean log2 fold change across datasets	0.161143411617657	0.699418757126568	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Sncg Neuron	TSPAN14	0.0872355037012044	mean log2 fold change across datasets	0.110147885007565	0.721071766222604	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L5_IT Neuron	TSPAN14	0.268123308428033	mean log2 fold change across datasets	0.125064666798237	0.761356828193832	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	Sst_Chodl Neuron	TSPAN14	-0.0216285816119781	mean log2 fold change across datasets	0.398863956318663	0.907760673639892	Benjamini-Hochberg FDR	False	False
single-nucleus meta-analysis	Nakatsuka et al. 2025	10.1038/s41467-025-62579-z	SumRank	downregulated	L56_ET Neuron	TSPAN14	0.118706924568235	mean log2 fold change across datasets	0.305013946450891	0.950123257805809	Benjamini-Hochberg FDR	False	False
