name	name2	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	source_url	display_name	is_primary	track_y
"ENST00000429989.7"	"TSPAN14"	"+"	80454165	80533123	9	"80454165,80489216,80504727,80507227,80509300,80512143,80514018,80516203,80517904,"	"80454371,80489314,80504778,80507374,80509471,80512269,80514063,80516323,80533123,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000429989"	TRUE	10
"ENST00000372156.5"	"TSPAN14"	"+"	80459301	80518041	12	"80459301,80463087,80466440,80468546,80489216,80504727,80507227,80509300,80512143,80514018,80516203,80517904,"	"80459507,80463127,80466538,80468687,80489314,80504778,80507374,80509471,80512269,80514063,80516323,80518041,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000372156"	FALSE	9
"ENST00000372158.6"	"TSPAN14"	"+"	80454309	80533124	11	"80454309,80463087,80468546,80489216,80504727,80507227,80509300,80512143,80514018,80516203,80517904,"	"80454371,80463127,80468687,80489314,80504778,80507374,80509471,80512269,80514063,80516323,80533124,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000372158"	FALSE	8
"ENST00000372157.6"	"TSPAN14"	"+"	80454321	80517922	9	"80454321,80489216,80504727,80507198,80509300,80512143,80514018,80516203,80517904,"	"80454371,80489314,80504778,80507374,80509471,80512269,80514063,80516323,80517922,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000372157"	FALSE	7
"ENST00000372164.7"	"TSPAN14"	"+"	80454329	80522631	8	"80454329,80489216,80507227,80509300,80512143,80514018,80516203,80517904,"	"80454371,80489314,80507374,80509471,80512269,80514063,80516323,80522631,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000372164"	FALSE	6
"ENST00000341863.10"	"TSPAN14"	"+"	80454354	80518337	8	"80454354,80489216,80504727,80507227,80512143,80514018,80516203,80517904,"	"80454371,80489314,80504778,80507374,80512269,80514063,80516323,80518337,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000341863"	FALSE	5
"ENST00000616406.1"	"TSPAN14"	"+"	80489211	80519628	7	"80489211,80507227,80509300,80512143,80514018,80516203,80517904,"	"80489314,80507374,80509471,80512269,80514063,80516323,80519628,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000616406"	FALSE	4
"ENST00000481124.5"	"TSPAN14"	"+"	80454264	80518216	6	"80454264,80489216,80512143,80514018,80516203,80517904,"	"80454371,80489314,80512269,80514063,80516323,80518216,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000481124"	FALSE	3
"ENST00000469149.1"	"TSPAN14"	"+"	80454328	80509920	5	"80454328,80489216,80504727,80507227,80509300,"	"80454371,80489314,80504778,80507374,80509920,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000469149"	FALSE	2
"ENST00000265450.5"	"TSPAN14"	"+"	80515466	80519635	2	"80515466,80517904,"	"80516323,80519635,"	"https://api.genome.ucsc.edu/getData/track?genome=hg38;track=wgEncodeGencodeCompV38;chrom=chr10;start=80450000;end=80535000"	"ENST00000265450"	FALSE	1
