plot_order	signal_id	locus	trait	trait_label	chromosome	midpoint	PP.H3	PP.H4	top_snp	top_snp_pph4	posterior_class	focus_class
9	chr10 TSPAN14 | TC	chr10 TSPAN14	TC	TC	10	80494228	0.0243481439367118	0.975651086233109	rs1902660	0.146820404519255	≥0.95	TSPAN14
8	chr10 TSPAN14 | LDL	chr10 TSPAN14	LDL	LDL-C	10	80494228	0.0381037235143793	0.961885946151768	rs1902660	0.188258931439595	≥0.95	TSPAN14
10	chr10 TSPAN14 | nonHDL	chr10 TSPAN14	nonHDL	non-HDL-C	10	80494228	0.0413836290748962	0.958600618864801	rs1902660	0.138431177543255	≥0.95	TSPAN14
11	chr11 MS4A | TG	chr11 MS4A	TG	TG	11	60173126	0.147777882423567	0.851766736697488	rs1582763	0.593927576573592	0.80–0.94	MS4A comparator
15	chr16 locus | TG	chr16 locus	TG	TG	16	30010081	0.566310222829222	0.433688526393706	rs9925915	0.0647383946200911	<0.50	Other screened locus
14	chr16 locus | HDL	chr16 locus	HDL	HDL-C	16	30010081	0.807600646373422	0.192397574788521	rs3814883	0.235684000463228	<0.50	Other screened locus
6	chr7 locus | LDL	chr7 locus	LDL	LDL-C	7	100295525	0.987218864420369	0.0127805049208735	rs6979218	0.992490385792885	<0.50	Other screened locus
7	chr7 locus | TC	chr7 locus	TC	TC	7	100295525	0.999954380980608	4.53472424628409e-05	rs6979218	0.786805257354891	<0.50	Other screened locus
12	chr15 locus 1 | HDL	chr15 locus 1	HDL	HDL-C	15	58764824	0.999996407990607	1.46236108909625e-07	rs113298164	1	<0.50	Other screened locus
5	chr6 MHC | LDL	chr6 MHC	LDL	LDL-C	6	32714360	0.99999999315699	6.83560639957506e-09	rs72844311	0.0580345681114887	<0.50	Other screened locus
3	chr6 MHC | TC	chr6 MHC	TC	TC	6	32619290	0.999999999604597	3.87999080139289e-10	rs35062987	0.999999997768668	<0.50	Other screened locus
4	chr6 MHC | nonHDL	chr6 MHC	nonHDL	non-HDL-C	6	32619290	0.999999999604597	3.87996302994051e-10	rs35062987	0.999999979427088	<0.50	Other screened locus
1	chr6 MHC | HDL	chr6 MHC	HDL	HDL-C	6	32592854	0.999999999960878	3.17153239388675e-11	rs9275490	0.228183097060863	<0.50	Other screened locus
2	chr6 MHC | TG	chr6 MHC	TG	TG	6	32615369	0.999999999992525	7.53099331508432e-14	rs9461755	0.218503302665851	<0.50	Other screened locus
13	chr15 locus 2 | HDL	chr15 locus 2	HDL	HDL-C	15	63312881	0.999999999999986	3.15589673846808e-15	rs4619348	0.773066781306558	<0.50	Other screened locus
