analysis_block	trait	locus	max_variants	susie_L	status	best_pp_h4	n_signal_pairs	note	ld_orientation	model_id	traits_requested	includes_project_sqtl	iteration	traits_clustered	posterior_prob	regional_prob	candidate_snp	posterior_explained_by_snp	dropped_trait	pph4	mr_status	trait_pair	region_grch38	allele_compatible_overlapping_snps	p1	p2	p12_default	pp_h4_p12_div_10	pp_h4_default	pp_h4_p12_times_10	default_pp_h3	method	ld_panel
coloc.susie	LDL	LDL_nonAPOE_004	500.0	5.0	completed	0.950685355824485	1.0	coloc.susie sensitivity with rebuilt 1000G EUR LD	signed_to_AD_A1																								
coloc.susie	TC	TC_nonAPOE_004	500.0	5.0	completed	0.958674365374151	1.0	coloc.susie sensitivity with rebuilt 1000G EUR LD	signed_to_AD_A1																								
coloc.susie	nonHDL	nonHDL_nonAPOE_004	500.0	5.0	completed	0.957111324411553	1.0	coloc.susie sensitivity with rebuilt 1000G EUR LD	signed_to_AD_A1																								
HyPrColoc		TC_nonAPOE_004			completed			P0 rerun with rebuilt 1000G EUR LD		AD_TC	AD;TC	False	1.0	AD, TC	0.9413	1.0	rs1902660	0.1468															
HyPrColoc		LDL_nonAPOE_004			completed			P0 rerun with rebuilt 1000G EUR LD		AD_LDL	AD;LDL	False	1.0	AD, LDL	0.9099	1.0	rs1902660	0.1883															
HyPrColoc		nonHDL_nonAPOE_004			completed			P0 rerun with rebuilt 1000G EUR LD		AD_nonHDL	AD;nonHDL	False	1.0	AD, nonHDL	0.9025	0.9999	rs1902660	0.1384															
HyPrColoc		TC_nonAPOE_004			completed			P0 rerun with rebuilt 1000G EUR LD and MiGA sQTL effects aligned to AD A1		AD_TC_sQTL	AD;TC;sQTL	True	1.0	AD, TC, sQTL	0.8623	0.9909	rs1902660	0.1477															
HyPrColoc		TC_nonAPOE_004			completed			P0 rerun with rebuilt 1000G EUR LD		AD_TC_LDL_nonHDL	AD;TC;LDL;nonHDL	False	1.0	AD, TC, LDL, nonHDL	0.5355	1.0	rs1870140	0.2638															
HyPrColoc		TC_nonAPOE_004			completed			P0 rerun with rebuilt 1000G EUR LD and MiGA sQTL effects aligned to AD A1		AD_TC_LDL_nonHDL_sQTL	AD;TC;LDL;nonHDL;sQTL	True	1.0	AD, TC, LDL, nonHDL, sQTL	0.8418	0.9933	rs1902660	0.2452															
exact exon5-6 colocalization	AD																			0.990857886443657	robust												
exact exon5-6 colocalization	TC																			0.97705398860426	robust												
exact exon5-6 colocalization	LDL-C																			0.958888926242983	robust												
exact exon5-6 colocalization	non-HDL-C																			0.959844824231557	sensitivity flag												
coloc prior sensitivity																						AD-TC	chr10:80244228-80744228	3772.0	0.0001	0.0001	1e-05	0.8002779886225141	0.975651086233109	0.9975105548669256	0.0243481439367118	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
coloc prior sensitivity																						AD-LDL-C	chr10:80244228-80744228	3769.0	0.0001	0.0001	1e-05	0.7162077272168146	0.961885946151768	0.9960532092391486	0.0381037235143793	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
coloc prior sensitivity																						AD-non-HDL-C	chr10:80244228-80744228	3768.0	0.0001	0.0001	1e-05	0.6983859163069728	0.958600618864801	0.9956998403323596	0.0413836290748962	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
coloc prior sensitivity																						AD-TC	chr10:80244228-80744228	3772.0	0.0001	0.0001	1e-05	0.8002779886225141	0.975651086233109	0.9975105548669256	0.0243481439367118	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
coloc prior sensitivity																						AD-LDL-C	chr10:80244228-80744228	3769.0	0.0001	0.0001	1e-05	0.7162077272168146	0.961885946151768	0.9960532092391486	0.0381037235143793	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
coloc prior sensitivity																						AD-non-HDL-C	chr10:80244228-80744228	3768.0	0.0001	0.0001	1e-05	0.6983859163069728	0.958600618864801	0.9956998403323596	0.0413836290748962	coloc.abf posterior-odds rescaling with variant ABFs fixed	not required by coloc.abf; multiple-signal sensitivity used rebuilt 1000 Genomes Phase 3 EUR LD
