transcript	exon_rank	start_grch38	end_grch38	start_mb	end_mb	track_y	is_primary
"ENST00000429989"	1	80454166	80454371	80.454166	80.454371	10	TRUE
"ENST00000429989"	2	80489217	80489314	80.489217	80.489314	10	TRUE
"ENST00000429989"	3	80504728	80504778	80.504728	80.504778	10	TRUE
"ENST00000429989"	4	80507228	80507374	80.507228	80.507374	10	TRUE
"ENST00000429989"	5	80509301	80509471	80.509301	80.509471	10	TRUE
"ENST00000429989"	6	80512144	80512269	80.512144	80.512269	10	TRUE
"ENST00000429989"	7	80514019	80514063	80.514019	80.514063	10	TRUE
"ENST00000429989"	8	80516204	80516323	80.516204	80.516323	10	TRUE
"ENST00000429989"	9	80517905	80533123	80.517905	80.533123	10	TRUE
"ENST00000372156"	1	80459302	80459507	80.459302	80.459507	9	FALSE
"ENST00000372156"	2	80463088	80463127	80.463088	80.463127	9	FALSE
"ENST00000372156"	3	80466441	80466538	80.466441	80.466538	9	FALSE
"ENST00000372156"	4	80468547	80468687	80.468547	80.468687	9	FALSE
"ENST00000372156"	5	80489217	80489314	80.489217	80.489314	9	FALSE
"ENST00000372156"	6	80504728	80504778	80.504728	80.504778	9	FALSE
"ENST00000372156"	7	80507228	80507374	80.507228	80.507374	9	FALSE
"ENST00000372156"	8	80509301	80509471	80.509301	80.509471	9	FALSE
"ENST00000372156"	9	80512144	80512269	80.512144	80.512269	9	FALSE
"ENST00000372156"	10	80514019	80514063	80.514019	80.514063	9	FALSE
"ENST00000372156"	11	80516204	80516323	80.516204	80.516323	9	FALSE
"ENST00000372156"	12	80517905	80518041	80.517905	80.518041	9	FALSE
"ENST00000372158"	1	80454310	80454371	80.45431	80.454371	8	FALSE
"ENST00000372158"	2	80463088	80463127	80.463088	80.463127	8	FALSE
"ENST00000372158"	3	80468547	80468687	80.468547	80.468687	8	FALSE
"ENST00000372158"	4	80489217	80489314	80.489217	80.489314	8	FALSE
"ENST00000372158"	5	80504728	80504778	80.504728	80.504778	8	FALSE
"ENST00000372158"	6	80507228	80507374	80.507228	80.507374	8	FALSE
"ENST00000372158"	7	80509301	80509471	80.509301	80.509471	8	FALSE
"ENST00000372158"	8	80512144	80512269	80.512144	80.512269	8	FALSE
"ENST00000372158"	9	80514019	80514063	80.514019	80.514063	8	FALSE
"ENST00000372158"	10	80516204	80516323	80.516204	80.516323	8	FALSE
"ENST00000372158"	11	80517905	80533124	80.517905	80.533124	8	FALSE
"ENST00000372157"	1	80454322	80454371	80.454322	80.454371	7	FALSE
"ENST00000372157"	2	80489217	80489314	80.489217	80.489314	7	FALSE
"ENST00000372157"	3	80504728	80504778	80.504728	80.504778	7	FALSE
"ENST00000372157"	4	80507199	80507374	80.507199	80.507374	7	FALSE
"ENST00000372157"	5	80509301	80509471	80.509301	80.509471	7	FALSE
"ENST00000372157"	6	80512144	80512269	80.512144	80.512269	7	FALSE
"ENST00000372157"	7	80514019	80514063	80.514019	80.514063	7	FALSE
"ENST00000372157"	8	80516204	80516323	80.516204	80.516323	7	FALSE
"ENST00000372157"	9	80517905	80517922	80.517905	80.517922	7	FALSE
"ENST00000372164"	1	80454330	80454371	80.45433	80.454371	6	FALSE
"ENST00000372164"	2	80489217	80489314	80.489217	80.489314	6	FALSE
"ENST00000372164"	3	80507228	80507374	80.507228	80.507374	6	FALSE
"ENST00000372164"	4	80509301	80509471	80.509301	80.509471	6	FALSE
"ENST00000372164"	5	80512144	80512269	80.512144	80.512269	6	FALSE
"ENST00000372164"	6	80514019	80514063	80.514019	80.514063	6	FALSE
"ENST00000372164"	7	80516204	80516323	80.516204	80.516323	6	FALSE
"ENST00000372164"	8	80517905	80522631	80.517905	80.522631	6	FALSE
"ENST00000341863"	1	80454355	80454371	80.454355	80.454371	5	FALSE
"ENST00000341863"	2	80489217	80489314	80.489217	80.489314	5	FALSE
"ENST00000341863"	3	80504728	80504778	80.504728	80.504778	5	FALSE
"ENST00000341863"	4	80507228	80507374	80.507228	80.507374	5	FALSE
"ENST00000341863"	5	80512144	80512269	80.512144	80.512269	5	FALSE
"ENST00000341863"	6	80514019	80514063	80.514019	80.514063	5	FALSE
"ENST00000341863"	7	80516204	80516323	80.516204	80.516323	5	FALSE
"ENST00000341863"	8	80517905	80518337	80.517905	80.518337	5	FALSE
"ENST00000616406"	1	80489212	80489314	80.489212	80.489314	4	FALSE
"ENST00000616406"	2	80507228	80507374	80.507228	80.507374	4	FALSE
"ENST00000616406"	3	80509301	80509471	80.509301	80.509471	4	FALSE
"ENST00000616406"	4	80512144	80512269	80.512144	80.512269	4	FALSE
"ENST00000616406"	5	80514019	80514063	80.514019	80.514063	4	FALSE
"ENST00000616406"	6	80516204	80516323	80.516204	80.516323	4	FALSE
"ENST00000616406"	7	80517905	80519628	80.517905	80.519628	4	FALSE
"ENST00000481124"	1	80454265	80454371	80.454265	80.454371	3	FALSE
"ENST00000481124"	2	80489217	80489314	80.489217	80.489314	3	FALSE
"ENST00000481124"	3	80512144	80512269	80.512144	80.512269	3	FALSE
"ENST00000481124"	4	80514019	80514063	80.514019	80.514063	3	FALSE
"ENST00000481124"	5	80516204	80516323	80.516204	80.516323	3	FALSE
"ENST00000481124"	6	80517905	80518216	80.517905	80.518216	3	FALSE
"ENST00000469149"	1	80454329	80454371	80.454329	80.454371	2	FALSE
"ENST00000469149"	2	80489217	80489314	80.489217	80.489314	2	FALSE
"ENST00000469149"	3	80504728	80504778	80.504728	80.504778	2	FALSE
"ENST00000469149"	4	80507228	80507374	80.507228	80.507374	2	FALSE
"ENST00000469149"	5	80509301	80509920	80.509301	80.50992	2	FALSE
"ENST00000265450"	1	80515467	80516323	80.515467	80.516323	1	FALSE
"ENST00000265450"	2	80517905	80519635	80.517905	80.519635	1	FALSE
