plot_order	signal_id	locus	trait_label	row_label	focus_class	PP.H4	PP.H3	conditional_top_snp_share	coloc_susie	hyprcoloc	exact_sqtl_pp_h4	tested_layers	supported_layers	supported_fraction	supported_tested_label
9	chr10 TSPAN14 | TC	chr10 TSPAN14	TC	chr10 TSPAN14 | TC	TSPAN14	0.975651086233109	0.0243481439367118	0.146820404519255	0.958674365374151	0.9413	0.97705398860426	4	4	1	4/4
8	chr10 TSPAN14 | LDL	chr10 TSPAN14	LDL-C	chr10 TSPAN14 | LDL-C	TSPAN14	0.961885946151768	0.0381037235143793	0.188258931439595	0.950685355824485	0.9099	0.958888926242983	4	4	1	4/4
10	chr10 TSPAN14 | nonHDL	chr10 TSPAN14	non-HDL-C	chr10 TSPAN14 | non-HDL-C	TSPAN14	0.958600618864801	0.0413836290748962	0.138431177543255	0.957111324411553	0.9025	0.959844824231557	4	4	1	4/4
11	chr11 MS4A | TG	chr11 MS4A	TG	chr11 MS4A | TG	MS4A comparator	0.851766736697488	0.147777882423567	0.593927576573592	NA	NA	NA	1	1	1	1/1
15	chr16 locus | TG	chr16 locus	TG	chr16 locus | TG	Other screened locus	0.433688526393706	0.566310222829222	NA	NA	NA	NA	1	0	0	0/1
14	chr16 locus | HDL	chr16 locus	HDL-C	chr16 locus | HDL-C	Other screened locus	0.192397574788521	0.807600646373422	NA	NA	NA	NA	1	0	0	0/1
6	chr7 locus | LDL	chr7 locus	LDL-C	chr7 locus | LDL-C	Other screened locus	0.0127805049208735	0.987218864420369	NA	NA	NA	NA	1	0	0	0/1
7	chr7 locus | TC	chr7 locus	TC	chr7 locus | TC	Other screened locus	4.53472424628409e-05	0.999954380980608	NA	NA	NA	NA	1	0	0	0/1
12	chr15 locus 1 | HDL	chr15 locus 1	HDL-C	chr15 locus 1 | HDL-C	Other screened locus	1.46236108909625e-07	0.999996407990607	NA	NA	NA	NA	1	0	0	0/1
5	chr6 MHC | LDL	chr6 MHC	LDL-C	chr6 MHC | LDL-C	Other screened locus	6.83560639957506e-09	0.99999999315699	NA	NA	NA	NA	1	0	0	0/1
3	chr6 MHC | TC	chr6 MHC	TC	chr6 MHC | TC	Other screened locus	3.87999080139289e-10	0.999999999604597	NA	NA	NA	NA	1	0	0	0/1
4	chr6 MHC | nonHDL	chr6 MHC	non-HDL-C	chr6 MHC | non-HDL-C	Other screened locus	3.87996302994051e-10	0.999999999604597	NA	NA	NA	NA	1	0	0	0/1
1	chr6 MHC | HDL	chr6 MHC	HDL-C	chr6 MHC | HDL-C	Other screened locus	3.17153239388675e-11	0.999999999960878	NA	NA	NA	NA	1	0	0	0/1
2	chr6 MHC | TG	chr6 MHC	TG	chr6 MHC | TG	Other screened locus	7.53099331508432e-14	0.999999999992525	NA	NA	NA	NA	1	0	0	0/1
13	chr15 locus 2 | HDL	chr15 locus 2	HDL-C	chr15 locus 2 | HDL-C	Other screened locus	3.15589673846808e-15	0.999999999999986	NA	NA	NA	NA	1	0	0	0/1
