rank_by_product_pip	snp	mean_pip	min_pip	product_pip	n_cs_memberships	functional_priority_grade	functional_prior_score	functional_anchor	priority_class	trait	pip	trait_label
1	rs1870140	0.172590107016252	0.0079711715188908	6.96803557296725e-05	3	moderate_priority_supportive_variant	8	FALSE	Supportive variant	AD	0.0079711715188908	AD
2	rs1902660	0.0746257084208744	0.0553636145623753	2.56573006406093e-05	4	moderate_priority_supportive_variant	9	FALSE	Regulatory priority	AD	0.117403642294003	AD
3	rs1870137	0.0654099814159689	0.0414881201557372	1.61548610530996e-05	4	highest_priority_functional_anchor	18	TRUE	External CRISPRi anchor	AD	0.0751027267313527	AD
4	rs7080009	0.0619456316338543	0.036617135608221	1.25051342879476e-05	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	AD	0.0801535801322095	AD
5	rs6586030	0.0997099417067316	0.0077452515417471	1.21989505818414e-05	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	AD	0.0077452515417471	AD
6	rs6586028	0.0652267196230795	0.0377006977633988	1.19679251599454e-05	4	high_priority_regulatory_proxy	11	FALSE	Regulatory priority	AD	0.120530176939261	AD
7	rs9633740	0.0539343812298403	0.0458216264575195	8.10449580197271e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	AD	0.0458216264575195	AD
8	rs7096909	0.100185709627832	0.0131849656477481	7.92451979878202e-06	2	context_variant	4	FALSE	Supportive variant	AD	0.0131849656477481	AD
9	rs7910643	0.0568565916656639	0.0326900424751859	5.61150085157929e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	AD	0.117403642294003	AD
10	rs1870138	0.0494069723531491	0.036492777354851	5.46823463459958e-06	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	AD	0.0429337213260864	AD
11	rs7900536	0.0533116662397477	0.0334736318382943	5.0424110254907e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	AD	0.102451297499319	AD
12	rs7922621	0.0517645002169049	0.0314112725025142	4.26436815848743e-06	4	context_variant	7	FALSE	Supportive variant	AD	0.102451297499319	AD
13	rs7097656	0.0490959541992751	0.0296736199119938	3.48572115323883e-06	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	AD	0.0957658127772896	AD
14	rs7896832	0.0456042753945275	0.0307978059629924	3.4480464540532e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	AD	0.0734563816870527	AD
15	rs1878036	0.0491416149498262	0.0210965912939168	2.98547696683049e-06	2	not_in_core_annotation_table	NA	FALSE	Supportive variant	AD	0.0250060058823406	AD
1	rs1870140	0.172590107016252	0.0079711715188908	6.96803557296725e-05	3	moderate_priority_supportive_variant	8	FALSE	Supportive variant	TC	0.158386608167607	TC
2	rs1902660	0.0746257084208744	0.0553636145623753	2.56573006406093e-05	4	moderate_priority_supportive_variant	9	FALSE	Regulatory priority	TC	0.0651072073758348	TC
3	rs1870137	0.0654099814159689	0.0414881201557372	1.61548610530996e-05	4	highest_priority_functional_anchor	18	TRUE	External CRISPRi anchor	TC	0.0811909821184421	TC
4	rs7080009	0.0619456316338543	0.036617135608221	1.25051342879476e-05	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	TC	0.0710124981160609	TC
5	rs6586030	0.0997099417067316	0.0077452515417471	1.21989505818414e-05	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	TC	0.119137646921146	TC
6	rs6586028	0.0652267196230795	0.0377006977633988	1.19679251599454e-05	4	high_priority_regulatory_proxy	11	FALSE	Regulatory priority	TC	0.0499794395867151	TC
7	rs9633740	0.0539343812298403	0.0458216264575195	8.10449580197271e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	TC	0.0591419520884944	TC
8	rs7096909	0.100185709627832	0.0131849656477481	7.92451979878202e-06	2	context_variant	4	FALSE	Supportive variant	TC	0.116804369133258	TC
9	rs7910643	0.0568565916656639	0.0326900424751859	5.61150085157929e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	TC	0.044408241640354	TC
10	rs1870138	0.0494069723531491	0.036492777354851	5.46823463459958e-06	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	TC	0.0607624696787221	TC
11	rs7900536	0.0533116662397477	0.0334736318382943	5.0424110254907e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	TC	0.0435926132211216	TC
12	rs7922621	0.0517645002169049	0.0314112725025142	4.26436815848743e-06	4	context_variant	7	FALSE	Supportive variant	TC	0.0403770653246984	TC
