analysis_block	model	comparison	status	rg	se	p	analysis_class	scope	conditioned_trait	anchor_trait	anchor_snp	selected_snp	r2_to_anchor	trait	conditioning_signals	max_abs_z_before	max_abs_z_after_stable_variants	significant_before	significant_after_stable_variants	low_conditional_variance_removed	conditioned_sumstats
LD-conditioned LDSC	own_lead	AD-HDL	completed	0.1155	0.0306	0.0002															
LD-conditioned LDSC	own_lead	AD-LDL	completed	-0.0504	0.0494	0.3082															
LD-conditioned LDSC	own_lead	AD-TG	completed	-0.0488	0.0326	0.1344															
LD-conditioned LDSC	own_lead	AD-TC	completed	0.0242	0.0322	0.4525															
LD-conditioned LDSC	own_lead	AD-nonHDL	completed	-0.0339	0.0337	0.3137															
LD-conditioned LDSC	pair_union_leads	AD-HDL	completed	0.1181	0.0314	0.0002															
LD-conditioned LDSC	pair_union_leads	AD-LDL	completed	-0.0751	0.0703	0.285															
LD-conditioned LDSC	pair_union_leads	AD-TG	completed	-0.0463	0.0319	0.1466															
LD-conditioned LDSC	pair_union_leads	AD-TC	completed	0.0041	0.0318	0.8975															
LD-conditioned LDSC	pair_union_leads	AD-nonHDL	completed	-0.0534	0.0358	0.1358															
extended-window sensitivity	baseline	AD-HDL		0.1394	0.0436	0.0014	baseline	unmodified genome-wide statistics													
extended-window sensitivity	w1Mb	AD-HDL		0.1068	0.029	0.0002	physical-window sensitivity	APOE lead-anchor window exclusion													
extended-window sensitivity	w2Mb	AD-HDL		0.1063	0.0284	0.0002	physical-window sensitivity	APOE lead-anchor window exclusion													
extended-window sensitivity	w5Mb	AD-HDL		0.1059	0.0278	0.0001	physical-window sensitivity	APOE lead-anchor window exclusion													
extended-window sensitivity	own_lead	AD-HDL		0.1155	0.0306	0.0002	LD-based summary conditional analysis	GRCh37 LDetect APOE block conditioned on pre-specified observed lead signal(s)													
extended-window sensitivity	pair_union_leads	AD-HDL		0.1181	0.0314	0.0002	LD-based summary conditional analysis	GRCh37 LDetect APOE block conditioned on pre-specified observed lead signal(s)													
conditioning variants	own_lead	AD-HDL	exact						AD	AD	rs7254892	rs7254892	1.0								
conditioning variants	own_lead	AD-HDL	exact						HDL	HDL	rs4420638	rs4420638	1.0								
conditioning variants	pair_union_leads	AD-HDL	exact						AD	AD	rs7254892	rs7254892	1.0								
conditioning variants	pair_union_leads	AD-HDL	below_r2_threshold						AD	HDL	rs4420638	rs183610051	0.0357120714241428								
conditioning variants	pair_union_leads	AD-HDL	exact						HDL	AD	rs7254892	rs7254892	1.0								
conditioning variants	pair_union_leads	AD-HDL	exact						HDL	HDL	rs4420638	rs4420638	1.0								
conditioning variants	own_lead	AD-LDL	exact						AD	AD	rs7254892	rs7254892	1.0								
conditioning variants	own_lead	AD-LDL	exact						LDL	LDL	rs445925	rs445925	1.0								
